"","BInt_390","BInt_391","BInt_392","BInt_398","BPFC_384","BPFC_385","BPFC_386","BPFC_387","gene"
"ENSMUSG00000000001",465.085269528238,279.726560617694,501.611027918047,373.490098193993,618.169717832773,618.551579711145,541.480205543891,592.134320290671,"Gnai3"
"ENSMUSG00000000028",41.3173701858799,20.7717743032941,34.5343220597623,24.1299782541063,37.4108474769114,36.2883593430538,21.0469337843915,20.2093624672584,"Cdc45"
"ENSMUSG00000000037",12.7130369802708,29.0804840246118,13.8137288239049,11.5404243823987,42.7552542593273,21.4431214299864,22.003612592773,10.1046812336292,"Scml2"
"ENSMUSG00000000056",725.702527623789,282.4961305248,603.487277994345,583.315996055787,783.846328087667,823.910704175245,799.783483806878,779.070923112811,"Narf"
"ENSMUSG00000000058",309.350566519922,318.500539317177,489.52401519713,385.030522576392,423.098870274593,425.563486841268,470.685973723665,662.867088926076,"Cav2"
"ENSMUSG00000000078",751.12860158433,1413.86543757755,855.58782903061,1058.57165471275,850.651412867865,734.014541257225,753.86290100457,846.772287378127,"Klf6"
"ENSMUSG00000000085",859.189415916632,476.366024022212,545.642288544244,700.818498858392,804.333220753594,853.60118000138,735.686003645322,723.495176327851,"Scmh1"
"ENSMUSG00000000088",1569.00064731508,3583.82345979501,1932.1953192437,2376.27829328482,1733.36926643023,1584.31677950015,1718.19513985305,2063.37590790708,"Cox5a"
"ENSMUSG00000000093",36.0202714441005,33.2348388852706,21.5839512873514,40.9160500830498,24.9405649846076,33.8141530242093,29.6570430598244,33.3454480709764,"Tbx2"
"ENSMUSG00000000120",88.9912588618953,44.3131185136941,47.4846928321731,111.207725866751,89.0734463735985,119.586638744155,65.0541589699375,97.0049398428403,"Ngfr"
"ENSMUSG00000000125",68.8622836431332,119.091506005553,69.9320021710186,65.0460283371561,79.2753672725026,44.5357137392024,55.4873708861231,77.8060454989449,"Wnt3"
"ENSMUSG00000000126",229.894085393229,102.474086562918,172.671610298811,171.008106757362,222.683615933996,282.884255787897,248.736490179173,201.083156549221,"Wnt9a"
"ENSMUSG00000000127",163.150641246808,105.243656470024,199.435709895127,144.779869524638,236.044632890036,230.925923092161,208.555980227152,221.29251901648,"Fer"
"ENSMUSG00000000131",1681.29914064081,1276.77172717581,1316.62102852844,1404.78438618471,1418.04926626769,1435.03966492986,1415.88463640452,1299.46200664472,"Xpo6"
"ENSMUSG00000000134",697.09819441818,581.609680492236,566.362881780101,658.853319286033,641.328813889909,680.406737682259,634.27804995689,627.500704608373,"Tfe3"
"ENSMUSG00000000142",412.114282110444,171.713334240565,251.23719298477,388.177911044319,439.13209062184,433.810841237416,443.898967088985,345.580098190119,"Axin2"
"ENSMUSG00000000148",431.18383758085,260.339571267953,286.634873096027,380.834004619156,362.528926740546,386.800921179369,343.447692208935,252.61703084073,"Brat1"
"ENSMUSG00000000149",1960.98595420676,1604.96576116786,1583.3986664401,1988.1003822405,1912.40689364116,2111.32272541404,2017.63560687644,2221.0089351517,"Gna12"
"ENSMUSG00000000154",12.7130369802708,19.3869893497412,4.31679025747028,16.7860718289435,8.90734463735985,7.42261895653374,8.6101092754329,12.125617480355,"Slc22a18"
"ENSMUSG00000000167",18.0101357220502,19.3869893497412,23.3106673903395,30.4247551899601,16.9239548109837,29.690475826135,27.7436854430616,32.3349799476134,"Pih1d2"
"ENSMUSG00000000168",1561.58470907659,1380.63059869228,1693.90849703134,1387.99831435577,1701.30282573573,1607.40937180936,1700.01824249381,1927.97317937645,"Dlat"
"ENSMUSG00000000171",1056.24148911083,1246.30645819765,1418.49727860473,1158.2389561971,1105.40146949636,1063.90871710317,1017.90625211785,1310.57715600171,"Sdhd"
"ENSMUSG00000000184",1261.76892029187,1858.38140766805,1149.12956653859,1216.9902075984,1107.18293842383,1196.69112288116,1417.79799402128,1234.79204674949,"Ccnd2"
"ENSMUSG00000000194",1007.50818068646,848.873176527953,863.358051494056,856.089663276119,953.97661066124,913.806867093265,861.967606351671,949.840035961145,"Gpr107"
"ENSMUSG00000000197",1031.87483489864,720.08817584753,1130.13568940572,836.156202979249,1449.22497249845,1518.33794433096,1445.54167946435,1307.54575163162,"Nalcn"
"ENSMUSG00000000202",497.927281727271,642.540218448565,374.69739434842,527.712133122412,392.813898507569,418.140867884734,459.205828023088,475.930486103935,"Btbd17"
"ENSMUSG00000000214",527.591034681236,510.985647861036,494.704163506094,464.764363763874,550.473898588839,229.276452212931,468.772616106902,410.250058085346,"Th"
"ENSMUSG00000000223",1233.16458708626,789.327423525177,1010.12892024805,876.02312357299,1239.01163905675,1307.20567178955,1414.92795759614,875.065394832289,"Drp2"
"ENSMUSG00000000247",1366.65147537911,841.949251760189,913.432818480711,1104.73335224235,1109.85514181504,1276.6904605238,1260.90266944673,1153.95459688045,"Lhx2"
"ENSMUSG00000000253",801.980749505413,1757.29210605868,922.066398995652,1161.38634466503,754.452090784379,788.447080271806,743.339434112374,718.442835711036,"Gmpr"
"ENSMUSG00000000263",48.7333084243712,166.174194426353,89.7892373553819,69.242546294392,37.4108474769114,37.1130947826687,56.4440496945046,38.397788687791,"Glra1"
"ENSMUSG00000000266",336.895479977175,144.017635169506,371.243962142444,248.643688966226,342.042034074618,430.511899478957,406.588493562109,453.700187389951,"Mid2"
"ENSMUSG00000000275",107.001394583946,87.2414520738353,77.7022246344651,86.0286181233355,105.106666720846,98.1435173141683,122.454887472823,89.9316629792999,"Trim25"
"ENSMUSG00000000276",1150.5298467145,859.951456156377,1207.83791404018,803.633188810671,1233.66723227434,1329.47352865915,1278.1228879976,1136.77663878329,"Dgke"
"ENSMUSG00000000278",237.310023631721,188.3307536832,290.951663353497,259.134983859316,290.379435177931,383.50197942091,301.353824640152,313.245118242505,"Scpep1"
"ENSMUSG00000000282",901.566205850868,444.515970090494,578.449894501018,639.968988478472,896.078870518401,1069.68186518047,892.581328219877,814.437307430514,"Mnt"
"ENSMUSG00000000290",65.6840243980656,30.4652689781647,79.4289407374532,73.4390642516279,110.451073503262,115.46296154608,105.234668921958,120.245706680187,"Itgb2"
"ENSMUSG00000000295",173.744838730367,512.370432814589,264.187563757181,247.594559476917,137.173107415342,131.957670338378,168.375470275132,147.528346010986,"Hddc2"
"ENSMUSG00000000296",382.450529156478,383.585432134165,491.250731300118,571.775571673389,456.056045432824,354.63623903439,383.628202160955,435.511761169419,"Tpd52l1"
"ENSMUSG00000000301",43.4362096825917,69.2392476776471,48.3480508836671,43.0143090616678,43.6459887230632,40.4120365411281,34.4404371017316,36.3768524410651,"Pemt"
"ENSMUSG00000000303",57.2086664112184,37.3891937459294,45.757976729185,20.9825897861794,57.007005679103,58.556216212655,42.0938675687831,64.6699598952269,"Cdh1"
"ENSMUSG00000000305",630.354750271758,595.457530027765,537.872066080797,496.238248443143,585.212542674542,598.757929160388,643.844838040705,556.767935972969,"Cdh4"
"ENSMUSG00000000308",3781.06908188219,4765.04502517567,5457.28624349393,4119.93150451632,3372.32067970444,3623.06278622808,3644.94625993326,4236.89284126072,"Ckmt1"
"ENSMUSG00000000317",24.3666542121856,15.2326344890824,18.1305190813752,23.0808487647973,39.1923164043833,55.2572744541956,30.6137218682059,45.4710655513314,"Bcl6b"
"ENSMUSG00000000318",20.128975218762,20.7717743032941,7.77022246344651,15.7369423396345,10.6888135648318,10.7215607149932,3.82671523352573,23.2407668373472,"Clec10a"
"ENSMUSG00000000320",22.2478147154738,4.15435486065883,10.3602966179287,28.3264962113422,29.3942373032875,9.07208983576346,19.1335761676287,19.1988943438955,"Alox12"
"ENSMUSG00000000326",1361.35437663733,1654.81801949577,1393.45989511141,1401.63699771678,1239.90237352049,1193.3921811227,1188.19508000974,1318.66090098861,"Comt"
"ENSMUSG00000000339",901.566205850868,1318.3152757824,1062.79376138918,1084.79989194547,909.43988747444,742.261895653374,910.758225579125,831.615265527683,"Rtca"
