"","log2FoldChange","pvalue","padj","BInt_390","BInt_391","BInt_392","BInt_398","BPFC_384","BPFC_385","BPFC_386","BPFC_387","gene"
"ENSMUSG00000017404",-0.791851044698907,0.00129488753445827,0.0347520886923724,4513.12812799612,12436.753667859,6290.42676318569,7487.63716519812,4273.74395700525,4103.05881208393,4337.58171720142,5032.13125434734,"Rpl19"
"ENSMUSG00000017405",-0.0478898563384993,0.852607593200656,0.922655591144169,82.6347403717599,106.628441423577,63.8884958105602,62.9477693585382,92.6363842285424,66.8035706088036,81.3176987124218,62.649023648501,"Nek8"
"ENSMUSG00000017412",0.278252109022099,0.0359431179680158,0.158550793308523,2132.61195344042,2294.58866803722,2393.22851874152,1910.46480003163,2326.59841927839,2872.55353617856,2858.55627944372,2530.21218090075,"Cacnb4"
"ENSMUSG00000017417",-0.101307437716761,0.526860573336656,0.715481337326032,580.562022099031,635.6162936808,457.57976729185,536.105169036884,476.542938098752,591.335310203855,541.480205543891,446.626910526411,"Plxdc1"
"ENSMUSG00000017418",0.891601289452305,6.01234598207709e-05,0.00830934619507221,195.992653445841,114.937151144894,271.094428169134,203.53112092594,359.856723349338,376.904095903991,380.75816573581,347.601034436845,"Arl5b"
"ENSMUSG00000017421",0.134570768653629,0.315461926876056,0.532385426719759,1402.67174682321,1224.1498989408,1647.28716225066,1411.07916312056,1623.8089273907,1537.3068594421,1663.66444777531,1420.71818144827,"Zfp207"
"ENSMUSG00000017428",-0.195754287946579,0.227067073137956,0.442683690738353,1079.54872357466,1578.65484705035,1007.53884609356,1183.41806394052,1115.19954859745,972.36308330592,1061.91347730339,1080.19042387496,"Psmd11"
"ENSMUSG00000017446",0.622258667785093,0.109906989282449,0.289887828425537,41.3173701858799,9.69349467487059,31.080889853786,24.1299782541063,31.1757062307595,47.8346554976619,38.2671523352573,48.5024699214202,"C1qtnf1"
"ENSMUSG00000017453",0.57466336985374,0.0897326216482686,0.25892423747814,33.9014319473887,34.6196238388235,45.757976729185,19.9334602968704,58.788474606575,60.2056870918848,48.7906192274531,32.3349799476134,"Pipox"
"ENSMUSG00000017466",0.204541483259655,0.0939594251025356,0.265396818377809,5012.11482947174,3996.48937595379,5072.22855252758,4455.6529410952,5415.66553951479,5566.9642174003,5043.61067778692,5338.30309572631,"Timp2"
"ENSMUSG00000017478",0.0981266048381563,0.621028626990133,0.782729747302227,1203.5008341323,600.996669841977,820.190148919353,895.95658386986,923.691638894216,1068.03239430124,949.025377914382,829.594329280957,"Zc3h18"
"ENSMUSG00000017485",0.110984412359824,0.429112603684522,0.636452967709204,1594.42672127562,1393.09366327426,1921.83502262577,1523.33601847662,1658.5475714764,1684.93450313316,1661.75109015855,1947.17207372035,"Top2b"
"ENSMUSG00000017491",0.819608452414685,0.00825182790568208,0.0773573672393284,95.3477773520306,26.3109141175059,88.0625212523937,62.9477693585382,112.232542430734,120.41137418377,113.844778197391,139.444601024083,"Rarb"
"ENSMUSG00000017493",-0.117550949620624,0.296341752763531,0.513520882161307,1459.88041323442,1580.03963200391,1440.08122989209,1613.5611545572,1385.09209110946,1311.32934898763,1448.41171588949,1471.24158761641,"Igfbp4"
"ENSMUSG00000017548",0.259804733792824,0.0927068781304262,0.263209322267293,595.393898576014,458.363819626024,686.369650937775,593.807290948877,710.806102061316,661.437822571118,660.108377783189,767.955773755819,"Suz12"
"ENSMUSG00000017550",-0.0548480555066644,0.799472655965415,0.893627516717777,80.5159008750481,95.550161795153,92.379311509864,94.4216540378073,106.888135648318,79.1746022030265,88.0144503710919,74.7746411288561,"Atad5"
"ENSMUSG00000017561",0.386318317147798,0.0207581132274687,0.120873567881845,168.447739988587,157.865484705035,155.40444926893,187.794178586306,244.951977527396,211.132272541404,224.819519969637,194.009879685681,"Crlf3"
"ENSMUSG00000017615",-0.139650239513443,0.267198557062106,0.48494148211706,1027.63715590522,1250.46081305831,1016.1724266085,1076.406856031,975.354237790903,1063.08398166355,936.588553405423,988.237824648936,"Tnfaip1"
