"","log2FoldChange","pvalue","padj","BInt_390","BInt_391","BInt_392","BInt_398","BPFC_384","BPFC_385","BPFC_386","BPFC_387","gene"
"ENSMUSG00000000263",-1.13541124035748,0.00146613882556847,0.0362516198271251,48.7333084243712,166.174194426353,89.7892373553819,69.242546294392,37.4108474769114,37.1130947826687,56.4440496945046,38.397788687791,"Glra1"
"ENSMUSG00000000295",-1.03038829839408,0.000262795056864216,0.0192994930463628,173.744838730367,512.370432814589,264.187563757181,247.594559476917,137.173107415342,131.957670338378,168.375470275132,147.528346010986,"Hddc2"
"ENSMUSG00000000317",1.07309593752346,0.00209869629541038,0.0426803602092434,24.3666542121856,15.2326344890824,18.1305190813752,23.0808487647973,39.1923164043833,55.2572744541956,30.6137218682059,45.4710655513314,"Bcl6b"
"ENSMUSG00000002831",-2.08153906454886,8.65470832655216e-11,7.59537202738218e-07,118.65501181586,239.567796964659,205.479216255585,329.426659643017,46.3181921142712,47.8346554976619,35.397115910113,81.8479179923965,"Plin4"
"ENSMUSG00000002910",-1.13811510335148,7.94919321108606e-08,0.000162658524537987,591.15621958259,745.014305011483,378.150826554397,472.108270189036,227.137288252676,230.925923092161,243.953096137266,290.004351405158,"Arrdc2"
"ENSMUSG00000003190",-1.05601218889817,0.00277502321857464,0.0487275077788617,34.9608516957446,66.4696777705412,35.3976801112563,67.1442873157741,28.5035028395515,24.7420631884458,26.7870066346801,17.1779580971696,"Bcl2l12"
"ENSMUSG00000003282",1.69104746478865,0.00157651334188245,0.0375678697433373,26.4854937088974,1.38478495355294,7.77022246344651,8.39303591447176,45.4274576505352,38.7625656618984,31.5704006765873,28.2931074541618,"Plag1"
"ENSMUSG00000003355",-1.31494108123223,0.00242353974078097,0.0458188507932222,24.3666542121856,40.1587636530353,25.0373834933276,50.3582154868306,15.1424858835117,18.1441796715269,16.2635397424844,6.06280874017752,"Fkbp11"
"ENSMUSG00000004328",-1.24235853465971,0.000127113561166927,0.0132803406285827,152.556443763249,210.487312940047,127.77699162112,193.03982603285,57.897740142839,50.3088618165065,46.8772616106902,134.392260407268,"Hif3a"
"ENSMUSG00000004730",1.06938468652164,0.000261619967481732,0.0192939229799973,48.7333084243712,23.5413442104,60.4350636045839,36.7195321258139,74.8216949538227,89.0714274784049,88.9711291794733,108.120089199832,"Adgre1"
"ENSMUSG00000004988",-1.15105551465858,0.00292320980727178,0.0499491674733708,39.1985306891682,88.6262370273883,36.2610381627504,40.9160500830498,17.8146892747197,22.2678568696012,18.1768973592472,33.3454480709764,"Fxyd4"
"ENSMUSG00000005580",1.14649596922564,0.000392499763021752,0.0229638528018593,419.530220348935,150.941559937271,182.168548865246,134.288574631548,471.198531316336,639.169965701516,538.610169118747,315.266054489231,"Adcy9"
"ENSMUSG00000007440",1.3566564462754,0.00111787775106505,0.0335238208893207,21.1883949671179,18.0022043961882,9.49693856643462,8.39303591447176,24.9405649846076,44.5357137392024,40.1805099520202,34.3559161943393,"Pcdha10"
"ENSMUSG00000007653",2.14479221129195,0.000482871870031903,0.0256829304933332,330.53896148704,54.0066131885647,211.522722616044,66.0951578264651,680.521130294292,931.951046764792,804.566877848785,514.328274791726,"Gabrb2"
"ENSMUSG00000007877",-1.09326242205444,0.00101041908623561,0.0328011778192409,81.575320623404,231.259087243341,80.2922987889472,109.109466888133,57.897740142839,51.9583326957362,55.4873708861231,68.7118323886786,"Tcap"
"ENSMUSG00000010608",-1.02036130315671,0.00014113396907663,0.0138685556637651,4977.153977776,14497.3136787457,6172.14671013101,6638.89140834716,4365.48960677006,3640.38223045999,4033.35785613612,3875.1452530968,"Rbm25"
"ENSMUSG00000014294",-1.04439088088391,0.000111710462593127,0.0121785219840656,1004.32992144139,2927.43539181092,1214.74477845214,1407.93177465264,810.568361999746,754.632927247597,845.704066609187,764.92436938573,"Ndufa2"
"ENSMUSG00000014498",1.00281330733791,0.0015550240211075,0.0373887419431218,884.615489877173,246.491721732424,366.927171884974,305.29668138891,940.6155937052,1029.26982863934,959.548844806578,686.107855763423,"Ankrd52"
"ENSMUSG00000015452",-1.34391227344807,0.000550992455203885,0.0270359456401487,30.723172702321,49.8522583279059,27.6274576478098,51.4073449761395,21.3776271296636,10.7215607149932,15.3068609341029,15.1570218504438,"Ager"
"ENSMUSG00000016239",1.59150240357363,0.000228577912005276,0.0180147637218379,49.7927281727271,20.7717743032941,10.3602966179287,11.5404243823987,69.4772881714068,83.2982794011008,52.6173344609788,71.7432367587673,"Lonrf3"
"ENSMUSG00000020044",1.06138018364107,8.2843121044557e-06,0.00285110286387072,512.759158204254,199.409033311624,398.871419790254,327.328400664399,733.074463654715,846.178561044846,635.234728765272,793.217476839892,"Timp3"
"ENSMUSG00000020562",-1.7382999896872,1.48501575906398e-05,0.00413061907640551,30.723172702321,96.9349467487059,53.5281991926315,61.8986398692292,16.0332203472477,13.1957670338378,15.3068609341029,28.2931074541618,"Efcab10"
"ENSMUSG00000021256",1.1252286979312,4.7036301660009e-05,0.0074668330059095,245.785381618568,113.552366191341,105.329682282275,110.158596377442,319.773672481219,362.058857990923,342.491013400553,229.376264003383,"Vash1"
"ENSMUSG00000022762",1.32215314071818,1.18652116934002e-07,0.000189325632402327,352.786776202513,150.941559937271,296.995169713955,206.678509393867,520.188926821815,813.189143460252,662.021735399952,529.48529664217,"Ncam2"
"ENSMUSG00000022801",1.35977778783439,2.61976940881554e-05,0.0057477740829413,136.665147537911,42.9283335601412,64.7518538620542,46.1616975295947,202.196723268069,214.431214299864,186.55236763438,144.496941640898,"Lrch3"
"ENSMUSG00000022829",1.35537774061216,9.26723590120709e-08,0.000162658524537987,116.536172319149,108.013226377129,100.149533973311,86.0286181233355,208.43186451422,399.996688213207,255.433241837843,184.915666575414,"Stxbp5l"
"ENSMUSG00000022969",1.70645664370815,0.00266457704071637,0.0479678525319525,10.594197483559,0,6.04350636045839,7.34390642516279,16.9239548109837,21.4431214299864,18.1768973592472,24.2512349607101,"Il10rb"
"ENSMUSG00000023267",-1.08113180628753,0.00157745670013899,0.0375678697433373,29.6637529539651,47.0826884208,45.757976729185,47.2108270189036,17.8146892747197,18.1441796715269,17.2202185508658,27.2826393307988,"Gabrr2"
"ENSMUSG00000024175",-1.11518717859228,0.000604800711664767,0.0275337205518391,45.5550491793035,55.3913981421177,44.8946186776909,45.1125680402857,19.5961582021917,17.3194442319121,19.1335761676287,32.3349799476134,"Tekt4"
"ENSMUSG00000025013",2.02205113890791,0.00101622322935108,0.0328011778192409,3.17825924506769,1.38478495355294,12.9503707724108,3.14738846792691,17.8146892747197,31.3399467053647,21.0469337843915,18.1884262205326,"Tll2"
"ENSMUSG00000026220",1.39410400096014,0.00109286604733755,0.0332246089497009,42.3767899342358,4.15435486065883,31.9442479052801,24.1299782541063,63.2421469252549,89.0714274784049,71.7509106286075,49.5129380447831,"Slc16a14"
"ENSMUSG00000028246",1.66743195111716,1.75357090369386e-06,0.00137575337492427,205.527431181044,72.008817584753,87.1991632008997,61.8986398692292,286.816497322987,475.872348657774,387.45491739448,206.135497166036,"Faxc"
"ENSMUSG00000028864",1.59563435698315,0.000459542820044407,0.0252270449958212,12.7130369802708,4.15435486065883,30.217531802292,14.6878128503256,30.2849717670235,62.6798934107293,51.6606556525974,47.4920017980572,"Hgf"
"ENSMUSG00000028971",-1.17972763827514,0.00087015959421692,0.0311059902193388,118.65501181586,456.979034672471,151.08765901146,180.450272161143,105.106666720846,102.267194512243,117.671493430916,73.7641730054932,"Cort"
"ENSMUSG00000029135",1.04598871332072,3.6572415574026e-07,0.00049378387550408,682.266317941197,346.196238388235,465.349989755296,390.276170022937,934.380452459048,1090.30025117084,1011.20950045918,857.887436735119,"Fosl2"
"ENSMUSG00000029298",1.51758746670553,0.00183384912692344,0.0396086217887199,27.5449134572533,1.38478495355294,12.0870127209168,24.1299782541063,63.2421469252549,42.8862428599727,34.4404371017316,48.5024699214202,"Gbp9"
"ENSMUSG00000030525",1.19690370265582,0.0011457891671653,0.0337731373219479,57.2086664112184,26.3109141175059,31.9442479052801,33.572143657887,94.4178531560144,122.060845062999,88.0144503710919,37.387320564428,"Chrna7"
"ENSMUSG00000030711",-1.26614521377207,9.04874556114205e-06,0.00305429965556087,210.824529922823,509.600862907483,271.957786220628,284.314091602731,138.063841879078,117.11243242531,89.9278079878547,184.915666575414,"Sult1a1"
"ENSMUSG00000031010",1.23096525225933,2.03792090633723e-06,0.00137575337492427,698.157614166535,321.270109224283,698.456663658692,342.016213514724,1079.57017004801,1508.44111905558,1258.98931182997,994.300633389113,"Usp9x"
"ENSMUSG00000031189",3.04919191754752,2.67048020680786e-10,1.56240895299639e-06,13.7724567286266,5.53913981421177,4.31679025747028,3.14738846792691,58.788474606575,80.8240730822563,42.0938675687831,38.397788687791,"Aff2"
"ENSMUSG00000031210",1.33586694408329,0.000454696043126381,0.0250969338017429,54.0304071661507,12.4630645819765,55.2549152956196,25.1791077434153,83.7290395911826,103.091929951857,66.9675165867003,122.266642926913,"Gpr165"
"ENSMUSG00000031433",1.87208967058109,1.89200607569321e-06,0.00137575337492427,36.0202714441005,5.53913981421177,22.4473093388455,12.5895538717076,71.2587570988788,75.0509250049522,76.5343046705147,62.649023648501,"Rbm41"
"ENSMUSG00000031765",-1.04081732348153,0.000260925265574162,0.0192939229799973,2866.78983905105,10342.9588180869,5141.2971966471,5349.51126598644,2776.41932346506,2549.25724384953,2721.75120984518,3470.95800375163,"Mt1"
"ENSMUSG00000031780",-1.4502547087098,0.000782911686869553,0.0296863513927846,38.1391109408123,55.3913981421177,26.7640995963157,22.0317192754884,11.5795480285678,18.9689151111418,9.56678808381433,11.1151493569921,"Ccl17"
"ENSMUSG00000032393",1.03101915713767,2.06547685386515e-05,0.0049661985943892,1203.5008341323,487.444303650636,1105.96166396389,752.225843834531,1707.53796698188,2165.75526442862,1840.65002732588,1545.0057606219,"Dpp8"
"ENSMUSG00000033624",1.12995713147779,0.00048638331407186,0.0257155752324975,157.853542505029,51.2370432814588,117.416695003192,100.716430973661,281.472090540571,295.25528738212,240.12638090374,121.25617480355,"Pdpr"
