"","log2FoldChange","pvalue","padj","BCH_309","BCH_313","BCH_314","BCH_317","BPFC_384","BPFC_385","BPFC_386","BPFC_387","gene"
"ENSMUSG00000000001",-0.017976149956068,0.866482527017946,0.999725012385107,623.3763483412,678.52910248594,641.075864189731,530.964004109019,640.73133627502,636.390056813056,557.581115103347,609.353679812019,"Gnai3"
"ENSMUSG00000000028",-0.446744422299139,0.18960093493865,0.991445290930587,31.7933292414455,59.8418269617757,30.6687527621631,39.739509663045,38.7762480166439,37.3348833330326,21.6727641912962,20.7970539184989,"Cdc45"
"ENSMUSG00000000037",0.220996931777912,0.619355231834249,0.999725012385107,32.9288052857829,18.3386243915119,14.839719078466,19.8697548315225,44.3157120190216,22.0615219695193,22.6578898363551,10.3985269592495,"Scml2"
"ENSMUSG00000000056",-0.0422514202689932,0.687039046505482,0.999725012385107,865.232745785053,956.504040630963,855.757133524873,704.272421250632,812.454720348728,847.67155567499,823.565039269254,801.726428558134,"Narf"
"ENSMUSG00000000058",0.211038669444908,0.19079741243779,0.991445290930587,429.209944759515,386.076302979198,547.09097669278,400.706722435704,438.540900188234,437.836359087382,484.681817368987,682.143368526765,"Cav2"
"ENSMUSG00000000078",0.0226508279907276,0.821640415619552,0.999725012385107,874.316554139752,735.475357175372,850.810560498718,772.712687892543,881.69802037845,755.182867418159,776.279008306426,871.396559185105,"Klf6"
"ENSMUSG00000000085",-0.0530243256608433,0.578071139573898,0.999725012385107,844.794176986981,846.472294281891,769.68676286977,876.476963123827,833.689332357843,878.218278402017,757.561621050307,744.534530282262,"Scmh1"
"ENSMUSG00000000088",0.170758559573354,0.150172007037071,0.977089290824851,1501.09933061396,1366.71011254636,1757.02273889037,1876.58795631046,1796.63282477117,1630.00706551717,1769.28565852581,2123.37920507874,"Cox5a"
"ENSMUSG00000000093",-0.0848726634542579,0.790717708449615,0.999725012385107,28.3869011084335,42.4683933277118,40.5618988144737,20.9736300999404,25.8508320110959,34.7893231057804,30.5388949968264,34.3151389655232,"Tbx2"
"ENSMUSG00000000120",-0.152585474327491,0.483003563398413,0.999725012385107,130.579745098794,87.8323589277675,111.792550391111,96.0371483523589,92.3244000396282,123.035410983857,66.9885438640063,99.8258588087949,"Ngfr"
"ENSMUSG00000000125",-0.326541469936126,0.206841324912805,0.991445290930587,59.0447543055417,70.4589252937036,104.867348154493,97.1410236207768,82.1687160352691,45.82008409054,57.1372874134172,80.0686575862209,"Wnt3"
"ENSMUSG00000000126",0.194364562473382,0.263470380259813,0.993211295874261,280.462582951323,164.082428766159,217.649213150835,200.905298852061,230.811000099071,291.042385982504,256.132667715318,206.930686489064,"Wnt9a"
"ENSMUSG00000000127",0.0976944631734148,0.581163799571438,0.999725012385107,220.282352601444,295.348371779086,158.290336836971,189.866546167882,244.659660105015,237.585621210207,214.757390622844,227.727740407563,"Fer"
"ENSMUSG00000000131",-0.134038139741915,0.0856522104963095,0.95391285823894,1583.98908185059,1596.42551281898,1489.90779547799,1632.6315219901,1469.80444863088,1476.42493180629,1457.9859546872,1337.25056695948,"Xpo6"
"ENSMUSG00000000134",0.00283592203512509,0.975342812320595,0.999725012385107,672.201818247706,640.886662945469,629.204088926959,718.622799740065,664.735680285323,700.029062494361,653.138302674062,645.748524169392,"Tfe3"
"ENSMUSG00000000142",-0.19224272255835,0.135820700940036,0.975718721981762,548.434929414935,538.576442655981,451.127459985366,421.680352535645,455.159292195367,446.32155984489,457.098299307337,355.629622006332,"Axin2"
"ENSMUSG00000000148",-0.278057160312568,0.048062257643687,0.907755941382254,462.138750045298,438.19660388139,403.640358934275,380.836967604182,375.760308161287,397.955915527097,353.660106576151,259.963173981237,"Brat1"
"ENSMUSG00000000149",-0.00738985501672748,0.932537581450737,0.999725012385107,2300.47446582745,2233.45141273466,1928.17416559535,2099.57076053088,1982.20486885082,2172.2113939219,2077.62998542925,2285.59622564303,"Gna12"
"ENSMUSG00000000167",-0.195892823186387,0.569781002470544,0.999725012385107,23.8449969310842,26.0601504510959,29.679438156932,46.3627612735526,17.5416360075294,30.5467227270267,28.5686437067086,33.2752862695983,"Pih1d2"
"ENSMUSG00000000168",0.0231534606549699,0.787318241513198,0.999725012385107,1643.03383615613,1749.89084325321,1819.34955901993,1822.49806815798,1763.3960407569,1653.76562763819,1750.56827126969,1984.0389438248,"Dlat"
"ENSMUSG00000000171",0.15932656243909,0.100905412242897,0.957430295885311,1026.47034408096,1048.19716258852,1023.94061641415,1051.99313080228,1145.74580449179,1094.59089771846,1048.17368634269,1348.68894661466,"Sdhd"
"ENSMUSG00000000184",0.126230913661355,0.272842668356711,0.993211295874261,974.238446041438,1319.41576543141,1257.41886324869,1127.05664905469,1147.59229249258,1231.20262991432,1459.95620597731,1270.69999442028,"Ccnd2"
"ENSMUSG00000000194",-0.152607592033783,0.0872202657256647,0.957430295885311,981.051302307462,1030.82372895446,1047.6841669397,1157.9651565704,988.794324424418,940.160243931821,887.598206198084,977.46153416945,"Gpr107"
"ENSMUSG00000000197",0.0565462568512417,0.527518040772783,0.999725012385107,1496.55742643661,1418.83041344855,1486.93985166229,1270.56043394902,1502.11798864475,1562.12545945711,1488.52484968402,1345.56938852688,"Nalcn"
"ENSMUSG00000000202",-0.0232640490459563,0.866786374271182,0.999725012385107,418.990660360479,371.598441617478,465.967179063833,572.9112643089,407.15060417476,430.199678405626,472.86030962828,489.77061978065,"Btbd17"
"ENSMUSG00000000214",0.14187503336286,0.664117315346363,0.999725012385107,334.965433079515,558.845448562389,317.569988279172,338.889707404301,570.564792244902,235.888581058706,482.711566078869,422.180194545528,"Th"
"ENSMUSG00000000223",0.0183116350203512,0.896032925587812,0.999725012385107,1300.12007076625,1400.49178905704,1135.73316680526,1088.42101466007,1284.23240455123,1344.90432006492,1457.00082904214,900.512434671004,"Drp2"
"ENSMUSG00000000247",0.0626784661152402,0.506031352046204,0.999725012385107,1209.28198721927,1041.44082728639,1256.42954864346,1234.13255009123,1150.36202449377,1313.50907726215,1298.39560018765,1187.51177874629,"Lhx2"
"ENSMUSG00000000253",-0.0146728956723905,0.879211772642619,0.999725012385107,748.278713218307,713.275969754068,790.462369579622,879.788588929081,781.987668335651,811.185192417708,765.442626210778,739.335266802637,"Gmpr"
"ENSMUSG00000000263",-0.633423398896533,0.0462283242045669,0.907755941382254,63.5866584828911,84.9367866554235,30.6687527621631,91.6216472786872,38.7762480166439,38.1834034087833,58.1224130584761,39.514402445148,"Glra1"
"ENSMUSG00000000266",0.00754191904625759,0.95166225323871,0.999725012385107,425.803516626503,443.02255766863,446.180886959211,357.655586967405,354.525696152172,442.927479541887,418.67839915004,466.893860470301,"Mid2"
"ENSMUSG00000000275",-0.447534841845117,0.0167647326163368,0.878207845819299,140.79902949783,165.047619523607,168.183482889281,109.283651573374,108.942792046761,100.973889014338,126.096082567541,92.5468899373202,"Trim25"
"ENSMUSG00000000276",-0.0525492975830416,0.627300520519515,0.999725012385107,1543.11194425445,1358.02339572933,1312.82048114163,1110.49852002843,1278.69294054885,1367.81436211019,1316.12786179871,1169.83428291556,"Dgke"
"ENSMUSG00000000278",-0.0212633995812888,0.868748247121506,0.999725012385107,380.384474853009,321.408522230182,330.431078147176,317.91607730436,300.977544129188,394.561835224094,310.314578193559,322.354335736733,"Scpep1"
"ENSMUSG00000000282",-0.15530438008121,0.141592178268411,0.977089290824851,1103.6827150959,952.643277601171,1046.69485233447,1118.22564690735,928.78346439866,1100.53053824871,919.122226839969,838.121272915507,"Mnt"
"ENSMUSG00000000290",0.230786874914101,0.170107791499255,0.984122199941719,94.2445116799993,105.205792561831,104.867348154493,91.6216472786872,114.482256049139,118.792810605104,108.363820956481,123.742470815069,"Itgb2"
"ENSMUSG00000000295",-0.030510297274447,0.859654053872367,0.999725012385107,139.663553453493,124.509607710791,189.948404204365,161.165789189016,142.179576061027,135.763212120119,173.382113530369,151.818493605042,"Hddc2"
"ENSMUSG00000000296",-0.0534644427686708,0.647555461069235,0.999725012385107,447.377561468912,400.554164340918,453.106089195829,442.653982635585,472.700928202897,364.863632572819,395.035383668626,448.176511943652,"Tpd52l1"
"ENSMUSG00000000301",-0.176683701771987,0.506951931727765,0.999725012385107,37.4707094631322,39.5728210553678,46.4977864458601,57.4015139577317,45.2389560194178,41.5774837117863,35.464523222121,37.4346970532981,"Pemt"
"ENSMUSG00000000303",0.334486678165371,0.21260786213757,0.991445290930587,44.2835657291563,30.8861042383358,46.4977864458601,60.7131397629855,59.0876160253621,60.2449253783026,43.3455283825923,66.5505725391966,"Cdh1"
"ENSMUSG00000000305",-0.0609128268133103,0.527573059371021,0.999725012385107,592.718495144092,681.424674758284,658.88352708389,630.312778266631,606.571308260357,616.025574995038,662.989559124651,572.958835454646,"Cdh4"
"ENSMUSG00000000308",0.055238768901105,0.609983245597355,0.999725012385107,3371.22837563756,3229.52827442099,3859.31627500639,4299.59417048779,3495.40178550032,3727.548692773,3753.32870767447,4360.1023540133,"Ckmt1"
"ENSMUSG00000000317",0.451016050584137,0.249315557892162,0.993211295874261,19.3030927537348,64.6677807490156,19.7862921046213,24.2852559051942,40.6227360174364,56.8508450752996,31.5240206418853,46.7933713166226,"Bcl6b"
"ENSMUSG00000000318",0.106029345741906,0.870295314904551,0.999725012385107,3.40642813301202,5.79114454468797,12.8610898680039,24.2852559051942,11.0789280047554,11.0307609847596,3.94050258023567,23.9166120062738,"Clec10a"
"ENSMUSG00000000320",0.889786802978972,0.0616764643255174,0.925139211283538,7.94833231036138,10.6170983319279,11.8717752627728,12.1426279525971,30.4670520130773,9.33372083325815,19.7025129011783,19.757201222574,"Alox12"
"ENSMUSG00000000326",0.0441375321646067,0.634102571702465,0.999725012385107,1271.73316965782,1093.56112818858,1213.88902061852,1362.18208122771,1285.15564855163,1227.80854961132,1223.52605116317,1357.00776818206,"Comt"
"ENSMUSG00000000339",0.0959466817962631,0.383797159871855,0.999725012385107,889.077742716138,731.61459414558,895.329717734116,758.36230940311,942.632124404604,763.668068175667,937.839614096088,855.798768746231,"Rtca"
"ENSMUSG00000000340",-0.0961138769769073,0.452515596137866,0.999725012385107,316.797816370118,381.250349191958,308.666156832093,273.761066567644,300.977544129188,286.79978560375,309.3294525485,302.597134514159,"Dbt"
"ENSMUSG00000000346",0.101233998057616,0.182857060841204,0.989275003543808,2085.86949344769,1916.86884429172,2032.05219914461,1851.19882513685,2050.52492488014,2118.7546291496,2080.58536236443,2209.68697884051,"Dazap2"
"ENSMUSG00000000355",0.165985315282562,0.17366570481072,0.984122199941719,448.51303751325,425.649124034566,408.586931960431,338.889707404301,471.7776842025,404.744076133103,443.306540276512,501.208999435824,"Mcts1"
"ENSMUSG00000000365",0.343549653383414,0.530477067621128,0.999725012385107,12.4902364877107,2.89557227234398,20.7756067098524,22.0775053683584,21.2346120091145,28.8496825755252,13.7917590308248,9.35867426332452,"Rnf17"
"ENSMUSG00000000374",-0.111399544833057,0.217453922662819,0.991445290930587,1777.02000938794,1746.99527098087,1565.09570547555,1524.45174568514,1492.88554864079,1670.73602915321,1530.88525242156,1425.6380461131,"Trappc10"
