"","BCH_309","BCH_313","BCH_314","BCH_317","BPFC_384","BPFC_385","BPFC_386","BPFC_387","gene"
"ENSMUSG00000038371",910.651787558547,977.738237294819,906.212178391657,893.035092150096,929.706708399056,918.947242038052,861.984939426552,754.933057241511,"Sbf2"
"ENSMUSG00000038372",137.392601364818,179.525480885327,117.728438022497,152.334787041673,168.95365207252,161.218814392641,158.605228854486,180.934369090941,"Gmds"
"ENSMUSG00000038374",990.135110662161,980.633809567163,1065.49182983386,1037.64275231284,926.013732397471,935.917643553067,942.765242321383,1248.86308780586,"Rbm8a"
"ENSMUSG00000038375",2737.63274289733,3079.92370701655,2698.85024307035,2810.46643339202,2730.9557531722,2861.2096954315,2801.69733454756,3027.01119783752,"Trp53inp2"
"ENSMUSG00000038383",443.9711333359,439.161794638838,414.522819591817,386.356343946271,469.007952201311,374.197353406077,429.514781245688,449.216364639577,"Pigu"
"ENSMUSG00000038384",784.613946637102,1039.51044577149,787.494425763929,1026.60399962866,808.761744347143,859.5508367355,831.446044429725,673.824546959365,"Setd1b"
"ENSMUSG00000038387",216.875924468432,159.256474978919,190.937718809596,252.787436467703,187.418532080445,171.40105530165,144.813469823661,189.25319065834,"Rras"
"ENSMUSG00000038388",672.201818247706,682.389865515732,737.039380897145,662.325161050751,641.654580275416,608.388894313281,610.777899936528,872.43641188103,"Pals2"
"ENSMUSG00000038390",4814.41842799032,4784.45058466971,5435.29444113948,6048.13259566177,5088.92093018431,5110.63641624671,5352.18762960509,5259.57493598838,"Gpr162"
"ENSMUSG00000038393",341.77828934554,336.85157434935,481.79621274753,434.92685575666,419.152776179912,327.528749239786,348.734478350856,483.5315036051,"Txnip"
"ENSMUSG00000038398",859.555365563367,758.639935354124,910.169436812582,1031.01950070234,944.478612405397,848.520075750741,815.684034108783,802.766281254059,"Upf3a"
"ENSMUSG00000038400",933.361308445294,1082.94402985665,1205.97450377667,1235.23642535965,1072.80952846048,1048.77081362792,1026.50092215139,1094.96488880897,"Pmepa1"
"ENSMUSG00000038402",48.8254699065056,72.3893068085996,46.4977864458601,49.6743870788063,65.550324028136,63.6390056813056,71.9141720893009,51.9926347962473,"Foxf2"
"ENSMUSG00000038403",14.7611885763854,10.6170983319279,19.7862921046213,30.9085075157017,23.0811000099071,25.4556022725222,7.88100516047133,9.35867426332452,"Hjv"
"ENSMUSG00000038406",5005.178403439,4646.42830635465,4815.98349826483,6154.10462142989,4398.33441788789,4727.95386208313,4371.00248712641,4768.7644635118,"Scaf1"
"ENSMUSG00000038412",1120.71485576096,1195.87134847807,1193.11341390867,1135.88765120204,1274.07672054687,1218.47482877806,1223.52605116317,1368.44614783723,"Higd1a"
"ENSMUSG00000038415",101.057367946023,82.0412143830795,68.2627077609436,59.6092644945676,57.2411280245695,50.0626844692937,87.6761824102436,27.0361700940486,"Foxq1"
"ENSMUSG00000038416",770.988234105054,830.064051405275,784.526481948236,750.635182524184,925.090488397075,888.400519311026,804.847652013135,855.798768746231,"Cdc16"
"ENSMUSG00000038417",555.24778568096,554.984685532597,622.278886690341,623.689526656124,608.41779626115,532.870607571465,562.506743328641,605.194269028319,"Fig4"
"ENSMUSG00000038418",6125.89325919995,6816.17712909774,6123.8574063803,7029.4777092853,6173.73263064994,6861.98185259624,6575.71368076827,6152.80840178791,"Egr1"
"ENSMUSG00000038422",94.2445116799993,76.2500698383916,91.0169436812582,101.556524694448,114.482256049139,105.216489393092,79.7951772497722,96.70630072102,"Hdhd3"
"ENSMUSG00000038425",204.385687980721,250.949596936479,191.927033414827,248.371935394032,236.350464101448,267.283823861483,175.352364820487,211.090097272764,"Poli"
"ENSMUSG00000038429",3955.99853847129,3749.76609268546,4444.99052130318,4890.16743909138,3981.02812970877,4135.68684920911,4161.17072472886,4838.43459413878,"Usp5"
"ENSMUSG00000038437",4042.29471784093,3819.25982722172,3591.21201698877,3468.3760933691,3560.02886552806,3803.06697951482,3417.40086270938,3129.95661473409,"Mllt6"
"ENSMUSG00000038446",759.633473661681,585.870789770933,566.877268797401,533.171754645854,693.356244297608,636.390056813056,651.168051383944,532.404580313573,"Cdc40"
"ENSMUSG00000038451",84.0252272809632,87.8323589277675,74.19859539233,98.2448988891947,76.6292520328914,84.0034874993233,91.6166849904792,97.746153416945,"Spsb2"
"ENSMUSG00000038453",7957.41611871608,7262.09525903871,8033.23459447626,9198.59261172651,7051.7376750268,7828.44621887633,7455.43088180588,6747.60414385698,"Srcin1"
"ENSMUSG00000038456",470.087082355659,550.158731745357,591.610133928178,539.795006256362,562.255596241336,516.748726132201,463.009053177691,475.2126820377,"Dennd2a"
"ENSMUSG00000038457",21.5740448424095,28.9557227234398,45.5084718406291,52.9860128840601,48.0086880206067,31.3952428027774,22.6578898363551,36.3948443573731,"Tmem255b"
"ENSMUSG00000038459",496.203031375418,486.456141753789,557.973437350322,516.613625619586,554.869644238166,446.32155984489,504.384330270165,614.552943291643,"Abhd17c"
"ENSMUSG00000038462",1568.09241722987,1395.6658352698,1503.75819995122,1538.80212417458,1735.69872074501,1499.33497385156,1571.27540386897,1962.20203721037,"Uqcrfs1"
"ENSMUSG00000038463",94.2445116799993,164.082428766159,122.675011048652,110.387526841792,129.25416005548,123.035410983857,126.096082567541,166.376431347991,"Olfml2b"
"ENSMUSG00000038467",4009.36591255515,3504.60764029367,3972.09814000273,4050.11835982534,3857.31343365567,3709.72977118224,3751.35845638435,3960.79891877812,"Chmp4b"
"ENSMUSG00000038473",1262.64936130312,1256.67836619729,1398.89085179673,1357.76658015404,1106.04631247475,1406.84628559473,1254.06494616,1061.68960253937,"Nos1ap"
"ENSMUSG00000038481",1363.70672924915,1390.83988148256,1289.07693061608,1263.93718233852,1280.53942854964,1359.32916135269,1406.75942114413,1231.18559197514,"Cdk19"
"ENSMUSG00000038482",845.929653031319,838.750768222307,759.793616817459,663.429036319169,775.524960332877,756.03138749391,831.446044429725,709.179538620813,"Tfdp1"
"ENSMUSG00000038485",2688.80727299082,2663.92649055647,2880.88413043287,3065.46162039656,2408.7435970339,2775.50916778067,2673.6310006899,2733.77273758668,"Socs7"
"ENSMUSG00000038486",9629.97233202499,9623.91704251395,10181.0366024329,11467.0562883253,9647.89980414115,9783.43647340604,9678.85946270385,11004.7610809737,"Sv2a"
