"","log2FoldChange","pvalue","padj","BInt_390","BInt_391","BInt_392","BInt_398","BNPFC_381","BNPFC_382","BNPFC_383","BNPFC_389","gene"
"ENSMUSG00000002831",-1.86640659124861,5.46777715098584e-07,0.00323510148099996,108.242539425323,219.770536566127,188.249635192958,303.558471042059,39.86481234019,38.7067396920603,45.2368043412055,102.678791645847,"Plin4"
"ENSMUSG00000019787",-1.55221868349497,1.91427614828212e-05,0.0268367711642336,66.6851358959577,148.630940914664,80.6784150826965,87.9739517988133,47.4581099287977,39.7528677918457,19.3872018605167,23.7914273325743,"Trdn"
"ENSMUSG00000021250",1.05637843266168,9.71660821742886e-06,0.0211612322459911,427.171450232077,344.264828956188,567.912764993883,516.242750116113,803.940382193832,1204.09344285301,1189.88951418921,663.655604540231,"Fos"
"ENSMUSG00000022602",1.05812498600365,3.43686588641293e-05,0.035884923225782,2245.06624183057,1290.67552110512,2083.40142478257,3082.95529985072,3204.37158239242,4767.20575072213,5514.85112923947,4636.82396908015,"Arc"
"ENSMUSG00000024190",1.11315023294286,7.70721160271325e-06,0.0195432865640229,548.944307085564,301.072931596371,461.923474591125,666.088492191015,862.788438505542,1336.95171152576,1193.1207144993,889.048074006725,"Dusp1"
"ENSMUSG00000024598",-1.03818030123403,3.27538361229121e-05,0.035884923225782,122.739308098357,127.034992234756,79.0964853751926,115.042860044602,63.5938673045889,55.4447892886269,48.4680046512916,47.5828546651487,"Fbn2"
"ENSMUSG00000030711",-1.4319698688186,4.19443714691133e-07,0.00323510148099996,192.323797728921,467.488771423901,249.153928931857,261.988361950312,113.899463829114,97.2899132800435,88.858008527368,133.983301293971,"Sult1a1"
"ENSMUSG00000032446",-1.07279451433492,1.07296388852913e-05,0.0211612322459911,297.666983419637,259.151384158901,209.60568624426,261.021615227248,102.509517446203,149.596318269314,155.097614884133,78.8873643132728,"Eomes"
"ENSMUSG00000037341",1.78288524813268,1.29774512385728e-05,0.0230349759484668,29.9599885909375,21.5959486799085,20.5650861975501,20.3016811843415,32.2715147515824,92.0592727811164,66.2396063567652,128.974579750271,"Slc9a7"
"ENSMUSG00000084978",-2.56563058098237,1.45289357717403e-05,0.0234444190862174,40.590952284496,268.043833615334,50.6217506401233,57.0380566607691,33.2206769501584,15.6919214967812,9.69360093025833,11.2696234733247,"Gm11655"
"ENSMUSG00000091288",-2.85240118670795,1.55645912611117e-06,0.00552542989769465,34.7922448152823,80.032045107896,46.6669263713637,45.4370959840025,17.0849195743672,8.36902479828331,1.61560015504305,1.25218038592497,"Gm17075"
"ENSMUSG00000103456",-2.29494363214002,1.96551000076077e-05,0.0268367711642336,19.329024897379,78.7616951855485,26.8928050275655,51.2375763223858,12.3391085814874,12.553537197425,5.65460054265069,5.00872154369986,"Gm38097"
"ENSMUSG00000107606",-1.97394840859526,3.18521519888731e-06,0.0094229282967083,31.8928910806754,87.6541446419814,34.0114887113328,60.9050435530246,15.1865951772153,12.553537197425,13.732601317866,12.5218038592497,"Gm43873"
"ENSMUSG00000108219",-2.82226920602023,2.77457150895662e-05,0.0328324295226533,15.4632199179032,86.3837947196338,19.7741213437982,29.0024016919165,10.4407841843355,2.09225619957083,5.65460054265069,2.50436077184993,"Gm44101"
