"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000000001",406.569881590721,0.249472193416749,0.253983740345913,0.982236867119845,0.325983168853272,0.734358759954323
"ENSMUSG00000000028",27.737727898196,-0.00782238117035963,0.369385615081702,-0.0211767346939849,0.9831046731453,0.993946028446896
"ENSMUSG00000000037",15.7787902127057,0.100604595298542,0.551103149139218,0.18255129816565,0.85515010050063,0.957358201443468
"ENSMUSG00000000056",604.086048205141,0.485981947170674,0.286825287596836,1.69434833045047,0.090199111720815,0.571185955420787
"ENSMUSG00000000058",357.043745367213,0.0994710529322119,0.255502057039395,0.389316055161445,0.697042361028085,0.906310097691038
"ENSMUSG00000000078",872.440331687576,-0.207057255893824,0.20431323766786,-1.01343044756809,0.310854602231484,0.727508115389199
"ENSMUSG00000000085",655.332216348313,0.280929503539932,0.199103811638492,1.41096999212656,0.1582534623536,0.630385762292729
"ENSMUSG00000000088",1990.45792376107,-0.259928702847287,0.263354126205941,-0.986993090224168,0.323646026005132,0.733679957235153
"ENSMUSG00000000093",35.1021219998262,0.415630172710272,0.339752281030356,1.22333298675671,0.221203952906619,0.670840145196836
"ENSMUSG00000000120",83.088005035781,0.56656123244623,0.330397254154867,1.71478795698667,0.0863841103170724,0.568949149583686
"ENSMUSG00000000125",75.5157949667839,0.0614131596040268,0.300516068038547,0.204358988206079,0.838072976519765,0.953284719343759
"ENSMUSG00000000126",185.371889539662,0.4760401182798,0.266514585323422,1.78616910478694,0.0740718818220331,0.558078075091229
"ENSMUSG00000000127",155.586884911733,0.273135975961694,0.228236395202379,1.19672401818081,0.231414142231521,0.675401402328246
"ENSMUSG00000000131",1331.22275907753,0.0644584750662331,0.135206638937893,0.476740458697757,0.633546948940584,0.882945241350423
"ENSMUSG00000000134",596.306184772322,0.109633064467722,0.142481037739202,0.769457228886803,0.44162192608979,0.796823817040053
"ENSMUSG00000000142",368.392828239814,0.700686381773729,0.262980762016143,2.66440167106489,0.00771254102496283,0.377126892721375
"ENSMUSG00000000148",347.192147588237,0.298092649765119,0.198772337431586,1.49966868436971,0.13370024627309,0.607882479718326
"ENSMUSG00000000149",1787.88601304215,0.245763842778348,0.140675972322192,1.74702075074677,0.0806337387060206,0.563909918665804
"ENSMUSG00000000154",11.1565817430531,-0.257046551522502,0.606318164641617,-0.423946644703342,0.671604725387435,0.897529278393839
"ENSMUSG00000000167",23.4401927546234,0.287930733525555,0.446923762517857,0.644250222685464,0.519413188378275,0.830228616099639
"ENSMUSG00000000168",1396.3995697061,0.0322196986952867,0.175343574007402,0.183751807716241,0.854208164139802,0.957068926996748
"ENSMUSG00000000171",1087.39227252628,-0.0826728153575484,0.149882110262925,-0.551585610934641,0.581232297060343,0.859739439401757
"ENSMUSG00000000184",1139.8641373859,-0.298153334776643,0.194343021233391,-1.53416023320221,0.124990238114535,0.602042742179542
"ENSMUSG00000000194",853.890481941703,0.116053277012134,0.131894154697232,0.879897045312878,0.37891508551088,0.763211464713751
"ENSMUSG00000000197",988.856538706877,0.401041055738652,0.247480502786691,1.62049555913631,0.105125867507983,0.580757616938158
"ENSMUSG00000000202",450.759358914631,-0.109757898429756,0.215783887716772,-0.508647330396692,0.610999446810491,0.873206619257969
"ENSMUSG00000000214",360.430972712685,-0.799205295025567,0.153813872621548,-5.19592466793925,2.03704742373054e-07,0.00323510148099996
"ENSMUSG00000000223",955.815156355627,0.181762606927541,0.184555839388819,0.984865109277883,0.324690333691561,0.73429555408156
"ENSMUSG00000000247",1015.68546022331,0.133810656998069,0.189522564177298,0.706040769229405,0.480162784279039,0.813695601399686
"ENSMUSG00000000253",903.051076266228,-0.520782478229637,0.268523920495623,-1.93942676417212,0.0524493941720567,0.53473220939015
"ENSMUSG00000000263",68.6276136368887,-0.730542655940374,0.547318327875802,-1.33476738989481,0.181952489598375,0.64330765555082
"ENSMUSG00000000266",282.042880901592,0.30353160697925,0.316515751019021,0.958977889732283,0.337569883835707,0.740746002412136
"ENSMUSG00000000275",94.1715316011963,0.373767241148611,0.213930255190201,1.74714530591431,0.080612136232449,0.563909918665804
"ENSMUSG00000000276",974.509380204969,0.15631872230413,0.20450775993436,0.764365725556348,0.444649327806201,0.797850705947414
"ENSMUSG00000000278",256.548397112492,0.36693953997456,0.192673953441679,1.90445845647544,0.0568505022373157,0.540144284871608
"ENSMUSG00000000282",698.353141157673,0.460677685809797,0.216253124040449,2.13027066246511,0.0331492741685717,0.511002897133866
"ENSMUSG00000000290",61.2165275348122,0.184961776207521,0.364763278822271,0.507073455433114,0.612103279282108,0.873940895049664
"ENSMUSG00000000295",216.546066617964,-0.790258565178781,0.348332673047278,-2.26868917654337,0.023287234261626,0.479206741026416
"ENSMUSG00000000296",412.922276907855,-0.0481250393189996,0.1850763047385,-0.260028096989493,0.794842100592501,0.940111853580551
"ENSMUSG00000000301",46.3685421939402,-0.015330573576161,0.28751411013096,-0.0533211172459607,0.957476055004586,0.98651076242268
"ENSMUSG00000000303",48.9278762395097,0.714730942658927,0.33004180226121,2.16557702012928,0.0303435239789,0.500555344447468
"ENSMUSG00000000305",508.72439768144,-0.0505368175687959,0.137754275350316,-0.366862062467959,0.713721911082396,0.91205214443602
"ENSMUSG00000000308",3974.67395030402,-0.130473981239654,0.174568973969442,-0.747406473629692,0.45481823890169,0.80155124278394
"ENSMUSG00000000317",24.0001897456158,0.678877868825261,0.391510937148113,1.73399464589781,0.0829190331603328,0.565452444948517
