"","log2FoldChange","pvalue","padj","BInt_390","BInt_391","BInt_392","BInt_398","BNPFC_381","BNPFC_382","BNPFC_383","BNPFC_389","gene"
"ENSMUSG00000035891",0.194005808528306,0.27465543991962,0.706653907095335,1375.26012144852,824.457099603564,1050.40132578256,1092.42379706219,1381.03099892801,1167.47895936052,1272.28512209641,1148.24941389319,"Cerk"
"ENSMUSG00000035898",-0.147987238924018,0.548814219701327,0.843561863500048,211.6528226263,367.131127558444,293.447960741965,229.11897336614,184.137466523735,213.410132356224,263.342825272018,333.079982656041,"Uba6"
"ENSMUSG00000035900",0.325590820060731,0.107644599527685,0.582978720336776,669.750712694183,358.238678102011,521.24583862252,516.242750116113,548.615750776901,654.876190465669,709.248468063901,678.681769171331,"Gramd4"
"ENSMUSG00000035901",0.412172393413304,0.0674413244068019,0.550420516340048,3679.2798892161,1807.70793950057,2956.6266233247,2734.92647954772,2781.99440402612,3758.73826252899,4127.05059605748,4211.08263786566,"Dennd5a"
"ENSMUSG00000035910",0.00660230040297285,0.974152994115034,0.990787052804369,199.088956443004,158.793740293445,215.933405074276,147.912248628774,209.764845885286,196.672082759658,157.521015116698,162.783450170245,"Dcdc2a"
"ENSMUSG00000035914",0.10647135237219,0.616653924488804,0.874878679536109,189.424443994314,152.441990681707,141.582708821595,209.784038904863,188.883277516615,194.579826560087,218.106020930812,142.748563995446,"Cd276"
"ENSMUSG00000035919",0.117839556726565,0.548146757051892,0.843092929732305,193.29024897379,245.177535013078,288.702171619453,209.784038904863,242.036360636868,284.546843141633,280.30662689997,209.114124449469,"Bbs9"
"ENSMUSG00000035929",-0.246179753060742,0.445482199162202,0.797850705947414,90.8464170176814,96.5465940984143,72.7687665451772,97.6414190294522,129.08605900633,57.5370454881978,67.0474064342868,46.3306742792237,"H2-Q4"
"ENSMUSG00000035933",-0.11587947725019,0.496420038762377,0.819671058395559,403.976620355222,459.866671889815,514.127154938752,404.100130240703,348.342526877375,373.467731623393,455.599243722141,468.315464335937,"Cog5"
"ENSMUSG00000035934",0.391538939660228,0.0609776973239787,0.542501045908132,1047.63314943794,523.384168007193,810.738975095725,821.7347146043,940.61973878877,982.314285698503,1128.49670829757,1154.51031582282,"Pknox2"
"ENSMUSG00000035936",0.191658382827276,0.408268317004163,0.77871938822522,1005.10929466371,683.448258222985,1128.706846304,733.760762805487,675.803485386079,1033.57456258799,1116.37970713475,1233.39768013609,"Aldh5a1"
"ENSMUSG00000035941",0.230849956490631,0.263549214510705,0.69716819039717,305.398593378589,303.613631441066,393.900497168459,240.719934042907,277.155361984178,373.467731623393,394.206437830505,416.976068513013,"Ibtk"
"ENSMUSG00000035944",-0.262735557174076,0.238070928040198,0.679491714538272,195.223151463528,325.209580120974,249.944893785609,270.689082457887,256.273793615507,254.209128247856,184.98621775243,170.296532485795,"Ttc38"
"ENSMUSG00000035949",0.00194385885903878,0.988068219832377,0.995747069839748,1128.81505400694,1109.01548220942,1279.78113337062,1360.21263935088,1166.52034204985,1198.86280235408,1307.02052542983,1213.36279396129,"Fbxw2"
"ENSMUSG00000035953",0.170557108880331,0.269547999815753,0.702050916614765,1210.9634098208,886.704245798594,1083.62184964014,1181.36449558406,1111.46893453244,1401.81165371245,1223.81711744511,1175.79738238354,"Pip4p1"
"ENSMUSG00000035954",0.109093527846332,0.623783721164235,0.878579020568646,952.920927440786,1018.82063772274,932.547562573521,1007.35008543257,640.684484038768,968.714620401293,1241.58871915059,1368.63316181599,"Dock4"
"ENSMUSG00000035958",0.0112844346130353,0.950600241231435,0.98521958690361,232.914750013417,251.529284624816,321.131730623282,339.328099795423,257.222955814083,308.607789436697,285.153427365099,305.532014165692,"Tdp2"
"ENSMUSG00000035960",-0.0518506791627578,0.780277802412597,0.934385973806012,388.513400437319,275.66593314942,431.0758452948,443.736745886322,354.037500068831,407.989958916311,382.089436667682,343.09742574344,"Apex1"
"ENSMUSG00000035964",-0.176138785686318,0.373032655293115,0.760150221134952,3875.4694919245,6231.06636911476,4078.21478594493,4808.59820051975,5255.51109351505,4250.41846942814,3699.7243550486,3601.2707899202,"Tmem59l"
"ENSMUSG00000035967",0.158875856903428,0.46347828852696,0.806305388450875,748.999714773437,462.40737173451,690.512317325432,558.779605930924,497.3609920538,652.783934266098,755.293072482628,845.221760499351,"Ints6l"
"ENSMUSG00000035969",0.180055050017427,0.338753728919568,0.741428424423876,3080.08011739735,1867.41438585091,1931.5361728622,2518.37521358141,2385.24460502137,2959.49639429294,2568.80424651846,2734.76196286012,"Rusc2"
"ENSMUSG00000035983",0.123816864063097,0.751775259588362,0.926433588103591,22.2283786319859,25.4069984469511,13.4464025137827,19.3349344612777,18.9832439715191,27.1993305944208,19.3872018605167,21.2870665607244,"Gm7008"
"ENSMUSG00000035984",-0.189208969428199,0.477275354233195,0.812560872131735,112.108344404798,186.741438585091,136.045954845331,93.7744321371966,90.1704088647156,139.13503727146,133.287012791052,98.9222504880723,"Nme5"
"ENSMUSG00000035992",-0.239189307668633,0.320240703191978,0.731001501140979,620.461699205867,894.32634533268,691.303282179184,765.663404666595,391.054825813293,543.986611888415,737.521470777154,845.221760499351,"Fnip1"
"ENSMUSG00000036002",0.02530089983701,0.893799445153108,0.967315416832368,720.972628672238,575.468514823443,476.951806812412,561.679846100116,733.702379499212,607.800425975325,534.763651319251,498.367793598136,"Atosb"
"ENSMUSG00000036006",0.0399320051207271,0.823886261075577,0.949930902965897,777.993252119506,715.207006281674,751.41661106433,633.219103606843,552.412399571205,736.474182248931,759.332072870236,912.8395013393,"Ripor2"
"ENSMUSG00000036009",0.228639916488127,0.373983177242426,0.76034145000547,81.1819045689919,47.0029471268596,102.034466133998,79.2732312912384,91.1195710632915,92.0592727811164,88.858008527368,93.9135289443724,"Mettl25"
"ENSMUSG00000036019",0.0806670377450907,0.653497212210009,0.891298316107109,212.619273871169,165.145489905182,153.447181627874,176.914650320691,174.645844537975,179.934033163091,190.64081829508,204.105402905769,"Tmtc2"
"ENSMUSG00000036022",0.0332182604939698,0.911402643786207,0.972763687598919,58.953525937006,66.0581959620729,70.3958719839214,71.5392575067273,37.0173257444622,67.9983264860519,74.3176071319805,95.1657093302973,"Pabir2"
