"","log2FoldChange","pvalue","padj","BNPFC_381","BNPFC_382","BNPFC_383","BNPFC_389","BPFC_384","BPFC_385","BPFC_386","BPFC_387","gene"
"ENSMUSG00000000001",0.306548443100969,0.112436513103723,0.922113547260711,301.221803587578,445.204627163145,574.93176208095,582.323047993293,616.719477129418,613.110933597693,537.890401939964,585.289022818326,"Gnai3"
"ENSMUSG00000000028",-0.0566173959499159,0.871623663840463,0.984514320479956,37.7803618058996,27.1190635835418,22.6831954690511,32.2021962023941,37.3230807484662,35.9691747710647,20.9074007821187,19.9757345671784,"Cdc45"
"ENSMUSG00000000037",0.452408359794436,0.396309030970912,0.922113547260711,8.16872687695126,11.2996098264758,31.4075014186862,18.7846144513965,42.6549494268185,21.25451236472,21.857737181306,9.98786728358918,"Scml2"
"ENSMUSG00000000056",0.0599984262760381,0.74369115358688,0.964021940628028,521.777429265262,661.027174848832,841.023093544819,1013.02742220031,782.007406158339,816.663763552127,794.481229720512,770.064567564726,"Narf"
"ENSMUSG00000000058",0.305297310376066,0.186035042378226,0.922113547260711,232.808715993111,403.396070805185,452.791478786059,503.159315662407,422.106270369558,421.820322315213,467.56550840011,655.20409380345,"Cav2"
"ENSMUSG00000000078",-0.141877722661601,0.162242277365598,0.922113547260711,909.791955920447,896.059059239528,850.619830089418,830.548310386747,848.655764637743,727.558307869262,748.865082559526,836.983278364773,"Klf6"
"ENSMUSG00000000085",-0.00188081525667857,0.986157131520501,0.997533614037114,759.691599556467,827.131439298026,805.253439151315,705.76480010247,802.446236092023,846.093088364816,730.808690974969,715.131297504985,"Scmh1"
"ENSMUSG00000000088",-0.147709333744557,0.389087084280144,0.922113547260711,2594.59187429164,2014.72043206063,1710.83639672343,1482.64278348523,1729.3027413456,1570.38147125489,1706.80417294024,2039.52249930891,"Cox5a"
"ENSMUSG00000000093",-0.516723759520219,0.0781463950202883,0.922113547260711,57.1810881386588,44.0684783232555,37.5145155834307,33.5439543774938,24.8820538323108,33.5167310366739,29.4604283748037,32.9599620358443,"Tbx2"
"ENSMUSG00000000120",-0.217418244549077,0.365731721519271,0.922113547260711,101.087995102272,137.855239883004,108.181393775475,80.5054905059852,88.8644779725386,118.534780495554,64.6228751447307,95.8835259224561,"Ngfr"
"ENSMUSG00000000125",-0.374272930809795,0.179079656215481,0.922113547260711,103.13017682151,76.8373468200352,54.9631274827008,96.6065886071822,79.0893853955593,44.1439872190339,55.1195111528585,76.9065780836367,"Wnt3"
"ENSMUSG00000000126",0.0270541973354676,0.889773839697732,0.987079859866277,191.965081608355,305.089465314846,249.515150159562,183.820869988666,222.161194931346,280.396066965345,247.087463788676,198.758558943425,"Wnt9a"
"ENSMUSG00000000127",0.281537084934227,0.0533203217457884,0.922113547260711,159.29017410055,187.573523119498,175.358549587665,213.339549840861,235.490866627227,228.894748543139,207.173335022813,218.734293510603,"Fer"
"ENSMUSG00000000131",-0.0848491519581099,0.313573340465396,0.922113547260711,1458.1177475358,1431.66056501448,1522.39138821132,1450.44058728283,1414.72248932281,1422.41736594665,1406.49787079708,1284.43973266957,"Xpo6"
