"","BCH_309","BCH_313","BCH_314","BCH_317","BInt_390","BInt_391","BInt_392","BInt_398","gene"
"ENSMUSG00000066760",47.729579471427,53.2398127712276,43.9544245839204,68.5199372985332,49.30113985275,62.1376951049335,51.7195270170931,41.0083528018231,"Psg16"
"ENSMUSG00000066797",12.4511946447201,17.7466042570759,17.3986263978018,17.3856557324636,17.1044770917704,2.64415723850781,13.9560628458823,3.0006111806212,"Zfp648"
"ENSMUSG00000066798",217.895906282602,267.973724281846,257.316527251701,238.285752097884,240.468824996067,309.366396905414,266.807083818337,277.056432344024,"Zbtb6"
"ENSMUSG00000066800",239.685496910862,200.536628104957,159.334789116712,126.813018283852,167.020188072582,163.937748787484,137.918738712248,131.026688220459,"Rnasel"
"ENSMUSG00000066829",245.911094233222,188.114005125004,229.845011886751,168.743129168029,199.216850833561,236.652072846449,252.851020972455,190.038708106009,"Zfp810"
"ENSMUSG00000066838",231.384700481048,228.043864703425,195.963476269979,160.561644117458,173.057062340265,177.158534980023,220.834170914255,197.040134194126,"Zfp772"
"ENSMUSG00000066839",680.665307244698,633.553771977609,671.220692083618,835.534160789576,857.236146011082,1150.2083987509,797.958416835151,995.202708239365,"Ecsit"
"ENSMUSG00000066842",61.2183736698738,78.9723889439877,26.5557981861186,35.7939970962487,34.2089541835408,17.1870220503008,39.4053539177852,21.0042782643484,"Hmcn1"
"ENSMUSG00000066877",552.00296258259,564.342015375013,468.847195561818,482.707617983696,530.238789844883,468.015831215882,489.283144479166,576.117346679271,"Nck2"
"ENSMUSG00000066880",307.129467903095,255.551101301893,345.225376419542,263.852892880919,272.665487757046,432.319708496027,348.901571147057,297.060506881499,"Zfp617"
"ENSMUSG00000066892",258.362288877942,220.057892787741,238.086466496236,198.40101247635,235.438096439663,183.768928076293,182.249761869757,190.038708106009,"Fbxl12"
"ENSMUSG00000066894",59.1431745624204,51.46515234552,62.268768160554,48.0662246721054,32.1966627609796,33.0519654813476,42.689133410934,48.0097788899392,"Vsig10"
"ENSMUSG00000066900",2186.2222597021,2218.32553213449,2514.55937307178,3270.54864896581,2443.92793270061,2879.487232735,2172.22013471791,2510.51135445307,"Suds3"
"ENSMUSG00000066952",28.0151879506202,23.0705855341986,20.1457779342969,22.4990838890706,38.2335370286633,11.8987075732851,17.239842339031,23.0046857180959,"Myo1h"
"ENSMUSG00000066975",6.22559732236004,10.6479625542455,20.1457779342969,17.3856557324636,24.1474970707347,37.0182013391093,15.5979525924567,29.0059080793383,"Cryba4"
"ENSMUSG00000066979",1174.56269481859,1087.86684095875,1278.34118164902,1372.44411723331,1105.75413669739,1123.76682636582,1503.15006298885,1193.24304616036,"Bub3"
"ENSMUSG00000067028",90.2711611742206,124.226229799531,120.874667605781,163.629701011423,95.5838425716582,215.498814938386,133.814014345812,111.022613682984,"Cntnap5b"
"ENSMUSG00000067071",266.663085307755,275.95969619753,239.917900853899,228.05889578467,394.409118822,356.961227198554,288.151650523804,396.080675841999,"Hes6"
"ENSMUSG00000067081",21.7895906282602,14.1972834056607,42.1229902262571,17.3856557324636,22.1352056481735,13.220786192539,24.6283461986158,22.0044819912221,"Asb18"
"ENSMUSG00000067148",481.446192929177,443.665106426897,544.851721404847,484.752989246339,546.337121225373,446.86257330782,563.168183075014,515.104919339973,"Polr1c"
"ENSMUSG00000067150",845.643636287239,904.189486898016,814.988289160191,741.447082708008,820.0087546937,647.818523434413,726.536212859165,836.170315666442,"Xpo5"
"ENSMUSG00000067158",14.5263937521734,15.9719438313683,21.9772122919602,14.3175988384995,24.1474970707347,10.5766289540312,10.6722833527335,26.0052968987171,"Col4a4"
"ENSMUSG00000067194",1867.67919670801,1984.07035594108,2038.38644007931,1625.04746816969,1593.73480666849,1763.65287808471,2086.02092302276,1411.28745861884,"Eif1ax"
"ENSMUSG00000067199",345.520651390982,263.537073217577,303.102386193285,307.828375027739,408.495158779929,391.335271299156,315.242831342282,390.079453480756,"Frat1"
"ENSMUSG00000067212",264.587886200302,219.170562574887,239.917900853899,277.147806088097,301.843713384184,360.927463056316,270.911808184773,427.086991375084,"H2-T23"
"ENSMUSG00000067215",20.7519910745335,31.0565574498828,41.2072730474254,23.521769520392,35.2150998948215,55.527302008664,28.7330705650517,35.0071304405807,"Usp51"
"ENSMUSG00000067242",1824.10001545149,1866.05543763153,2134.53674385664,2241.72690385649,2086.74620519599,3346.18098533163,2827.33414360109,2437.49648239129,"Lgi1"
"ENSMUSG00000067261",18.6767919670801,8.87330212853794,10.9886061459801,9.20417068189252,32.1966627609796,21.1532579080625,18.8817320856054,22.0044819912221,"Foxd3"
"ENSMUSG00000067274",3640.9368340269,3213.91003095644,4832.23955269475,5595.11308895933,4170.47397325814,7923.21716518865,4920.74357048343,6142.2510867316,"Rplp0"
"ENSMUSG00000067276",72.6319687608672,74.5357378797187,54.0273135510689,28.6351976769989,64.3933255219592,25.1194937658242,54.1823616369547,36.0073341674544,"Capn6"
"ENSMUSG00000067279",699.342099211778,826.991758379736,1076.88340230605,813.035076900506,598.656698211965,540.730155274847,749.522669311206,566.115309410533,"Ppp1r3c"
"ENSMUSG00000067288",1108.15632338009,956.54196945639,1432.18166769274,2059.68886148128,1217.43631064954,3121.42762005847,1704.28155694421,2253.45899664652,"Rps28"
"ENSMUSG00000067336",1695.43767078939,2044.40881041514,1901.94458043339,1702.77157615012,1382.44420729956,1755.72040636918,2040.86895499196,1356.27625364078,"Bmpr2"
"ENSMUSG00000067365",385.987033986323,352.270094502956,291.198062868473,283.283919876025,322.972773321077,396.623585776171,425.249444362766,358.072934220797,"Tmem128"
"ENSMUSG00000067367",255.249490216762,232.480515767694,212.446385488949,226.013524522027,244.493407841189,495.779482220214,338.229287794323,335.068248502701,"Lyar"
"ENSMUSG00000067369",217.895906282602,288.382319177483,224.350708813761,234.195009572598,204.247579389964,154.683198452707,280.76314666422,185.037689471641,"Trmt2b"
"ENSMUSG00000067370",64.3311723310538,78.0850587311339,74.1730914853657,97.1551349755321,110.676028240867,162.61567016823,110.827557893771,140.028521762323,"B3galt4"
"ENSMUSG00000067377",231.384700481048,224.49454385201,274.715153649503,228.05889578467,220.345910770454,173.192299122261,288.972595397092,195.039726740378,"Tspan6"
