"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000000001",477.566395208633,-0.560313130876423,0.192180814451179,-2.91555185920374,0.0035506009352317,0.0363574724063294
"ENSMUSG00000000028",33.0230648313713,-0.369528928227494,0.362460303990528,-1.0195017886349,0.307964804449705,0.499671213071242
"ENSMUSG00000000037",17.8835648320577,-0.327558162452572,0.466220318278926,-0.702582340601903,0.482316070919775,0.662002450282045
"ENSMUSG00000000056",650.428935309355,-0.57431372230848,0.236913373830288,-2.4241507054806,0.0153442363401101,0.080146653421737
"ENSMUSG00000000058",381.899292694077,-0.181225132438812,0.195723974615001,-0.925921991903603,0.354486521475932,0.544383185291217
"ENSMUSG00000000078",858.056937960467,0.382251514863643,0.196321958134501,1.94706449801077,0.0515270026072916,0.165242434196872
"ENSMUSG00000000085",691.544435923341,-0.322067848914076,0.18741645340643,-1.71846090916917,0.0857125787352369,0.225851719345549
"ENSMUSG00000000088",1875.92785088756,0.588363965895813,0.228963330660468,2.56968643930283,0.0101790602518242,0.0642729571538476
"ENSMUSG00000000093",30.9285447202286,0.0284878727868226,0.362298704515216,0.0786308988461374,0.937326209895212,0.97098081422915
"ENSMUSG00000000120",83.8146259780389,-0.493740131834895,0.305561383959538,-1.61584597319495,0.106127619001827,0.257553244181757
"ENSMUSG00000000125",76.675004642008,-0.00254574830569713,0.285797380905352,-0.00890752846521085,0.992892914546994,0.996861684720353
"ENSMUSG00000000126",179.763676188704,-0.299050505341757,0.248979351831487,-1.20110564648011,0.229710223008775,0.417501094325429
"ENSMUSG00000000127",172.290603799376,-0.442005470553317,0.245730484553236,-1.79874089027631,0.0720596774631136,0.203324516109265
"ENSMUSG00000000131",1401.70514029438,-0.102601812927508,0.134311679658023,-0.763908345043014,0.444921864051882,0.630382865035765
"ENSMUSG00000000134",604.449418041333,-0.0399097347767889,0.138213151767961,-0.288754972057877,0.772768891985082,0.872019864898599
"ENSMUSG00000000142",371.102819434989,-0.62999725060646,0.244390412758738,-2.57783128026545,0.0099422529224868,0.0634817495013363
"ENSMUSG00000000148",355.65872780863,-0.260887371524206,0.187861972685308,-1.38871836484558,0.164918407497129,0.339537897788207
"ENSMUSG00000000149",1835.12543150503,-0.214384922116521,0.137721829915824,-1.55665171053531,0.119553199440093,0.278424958608778
"ENSMUSG00000000154",12.3455092198331,0.0539070809206669,0.601026620052733,0.0896916694237889,0.928532236097231,NA
"ENSMUSG00000000167",25.3696019593974,-0.412777313747371,0.381541168887331,-1.08186834713311,0.279311031443353,0.469781626494581
"ENSMUSG00000000168",1527.21607914959,-0.176044853794122,0.128106427122141,-1.37420781883391,0.169377174077351,0.344954485254625
"ENSMUSG00000000171",1058.75658340287,0.281293661677716,0.13584982291378,2.07062221830237,0.0383941141656431,0.137794199208913
"ENSMUSG00000000184",1192.09279757944,0.275935806668449,0.184221960015289,1.49784426702196,0.134173716620791,0.298842747756344
"ENSMUSG00000000194",911.385785104156,-0.190894559564123,0.131794916994813,-1.44842125870177,0.147499272911944,0.315858523236711
"ENSMUSG00000000197",1095.57646504905,-0.560452124160034,0.164818899817755,-3.40041175362619,0.000672844499929173,0.0163887685757049
"ENSMUSG00000000202",454.0373143024,0.204181741857044,0.201348285111482,1.01407241558573,0.310548199255362,0.502478518689047
"ENSMUSG00000000214",416.270625366676,0.412700855454332,0.197351298515401,2.09119908791543,0.0365102210650413,0.133732484621683
"ENSMUSG00000000223",1031.94912703006,-0.284901431750876,0.169191033079089,-1.6839038486023,0.0922002524516231,0.236347037651767
"ENSMUSG00000000247",1049.04026821449,-0.118192177900567,0.173007620055513,-0.683161688847244,0.494504678194943,0.672088796337203
"ENSMUSG00000000253",913.702291105883,0.614669236167096,0.222863425413482,2.7580534357609,0.00581466919584548,0.0470186885953987
"ENSMUSG00000000263",75.7230779385245,0.50805882904327,0.386484548319207,1.31456440174072,0.18865634059326,0.369206352383164
"ENSMUSG00000000266",323.528510490102,-0.551937802557502,0.245577825976521,-2.24750667273303,0.0246076646149007,0.105863986943606
"ENSMUSG00000000275",109.765877876768,-0.660538415886365,0.222278297287384,-2.9716730060801,0.00296181949311572,0.0330423755339102
"ENSMUSG00000000276",1091.36160524253,-0.355780649996367,0.175171500628294,-2.03104185738134,0.0422507487020687,0.145620679898975
"ENSMUSG00000000278",271.543485663759,-0.414983693620216,0.175660018866014,-2.36242541871038,0.0181557942009815,0.0886002757007896
"ENSMUSG00000000282",791.240697702151,-0.670789807661172,0.198579333844527,-3.37794368968098,0.000730300336306219,0.0171253948239657
"ENSMUSG00000000290",75.2245796828472,-0.606968099256967,0.277156340001918,-2.1899845381591,0.0285253581908187,0.115071591379117
