"","log2FoldChange","pvalue","padj","BCH_309","BCH_313","BCH_314","BCH_317","BInt_390","BInt_391","BInt_392","BInt_398","gene"
"ENSMUSG00000107091",1.67018304621889,2.15426197477264e-05,0.00314485423325783,18.6767919670801,27.5072365984676,38.4601215109304,32.7259402022845,57.350305542995,186.4130853148,68.9593693561241,64.013038519919,"Gm43343"
"ENSMUSG00000107106",1.76018837951171,0.00223497479466454,0.0291399767121148,9.33839598354006,3.54932085141518,16.4829092189702,10.2268563132139,16.0983313804898,76.6805599167264,18.8817320856054,24.0048894449696,"Gm43760"
"ENSMUSG00000107148",2.09837846643157,0.00140083746844974,0.0236894098624967,1.03759955372667,5.32398127712276,10.0728889671484,10.2268563132139,10.0614571128061,67.4260095819491,16.4188974657438,22.0044819912221,"Gm42888"
"ENSMUSG00000107336",1.48003149032114,1.0502693477374e-06,0.000543593953313782,16.6015928596268,20.4085948956373,21.0614951131285,20.4537126264278,51.3134312753113,56.8493806279179,52.5404718903803,59.0120198855503,"Gm43461"
"ENSMUSG00000107362",1.17776866812549,0.00105901566875165,0.0209351708591182,38.3911834878869,40.8171897912745,27.4715153649503,54.2023384600337,62.381034099398,169.2260632645,61.5708654965394,73.0148720617826,"Gm40309"
"ENSMUSG00000107414",1.96493297825451,0.000948308721437522,0.0198494031398932,3.11279866118002,13.3099531928069,14.6514748613068,19.4310269951064,46.2827027189082,113.698761255836,12.3141730993079,27.0055006255908,"6330419E04Rik"
"ENSMUSG00000107512",1.0079278183514,9.7257538651174e-05,0.00684265715407458,79.8951656369539,86.9583608596718,92.4874350619993,107.381991288746,130.79894246648,289.535217616605,164.188974657438,156.031781392302,"Gm44433"
"ENSMUSG00000107576",1.65521233175187,0.00471303132283719,0.0420358093963756,9.33839598354006,9.76063234139173,10.9886061459801,18.408341363785,8.0491656902449,85.9351102515038,18.0607872123182,42.0085565286968,"Gm44093"
"ENSMUSG00000107606",1.06364168491905,0.00430756887082402,0.0399940138398185,32.1655861655269,21.2959251084911,24.7243638284552,27.6125120456775,33.2028084722602,91.2234247285194,35.3006295513493,63.0128347930452,"Gm43873"
"ENSMUSG00000107624",1.26205378728812,0.00228216503556452,0.0293522091458533,33.2031857192536,47.0285012812511,38.4601215109304,66.4745660358904,65.3994712332399,241.940387323464,57.4661411301034,82.0167056036462,"Gm44005"
"ENSMUSG00000107729",2.02159913039315,0.000743590501629256,0.0172374594058213,4.1503982149067,14.1972834056607,7.32573743065341,11.2495419445353,13.079894246648,88.5792674900116,15.5979525924567,35.0071304405807,"B230112I24Rik"
"ENSMUSG00000107810",-2.11851562951059,2.24776073703297e-09,7.67835067770463e-06,80.9327651906806,119.789578735262,77.8359602006925,60.338452247962,29.1782256271378,13.220786192539,23.8074013253286,11.0022409956111,"Gm18609"
"ENSMUSG00000107826",1.13658991181836,0.000950097484007083,0.0198625030928286,63.2935727773271,44.3665106426897,88.8245663466726,119.654218864603,91.5592597265358,286.891060378097,161.726140037577,156.031781392302,"Gm44242"
"ENSMUSG00000107840",1.78518921127858,0.00135441953060036,0.0233491712722077,47.729579471427,38.1551991527131,64.1002025182173,98.1778206068535,124.762068198796,457.439202261851,128.067400232802,146.029744123565,"Gm44241"
"ENSMUSG00000107886",2.03797515534826,1.49139199009489e-05,0.0025730277970526,19.7143915208068,19.5212646827835,27.4715153649503,41.930110884177,45.2765570076276,263.093645231527,65.6755898629754,74.0150757886563,"Gm43880"
"ENSMUSG00000107905",2.44092719811303,2.81665143574543e-06,0.000929942566222278,13.4887941984468,9.76063234139173,16.4829092189702,19.4310269951064,27.1659342045766,189.057242553308,33.6587398047749,73.0148720617826,"Gm44230"
"ENSMUSG00000108037",-1.22243604918872,0.00635748970853402,0.0494246355128635,29.0527875043469,70.9864170283035,32.0501012591087,32.7259402022845,30.1843713384184,7.93247171552342,18.8817320856054,13.0026484493585,"Gm44597"
"ENSMUSG00000108077",1.04617242475606,0.0020499660448683,0.0281911594576092,48.7671790251537,55.901803409789,64.1002025182173,84.8829073996754,84.5162397475715,247.22870180048,96.8714950478887,98.0199652336259,"6330415B21Rik"
"ENSMUSG00000108088",1.70430816662627,0.00304776634170665,0.0335337590916601,53.955176793787,55.0144731969352,86.9931319890092,116.586161970639,102.626862550623,542.052233894101,160.90519516429,214.043597550979,"Gm44229"
"ENSMUSG00000108123",2.16966145560824,0.000124812211083709,0.00774446741942361,4.1503982149067,8.87330212853794,5.49430307299006,5.11342815660695,17.1044770917704,55.527302008664,18.0607872123182,18.0036670837272,"Gm43884"
"ENSMUSG00000108148",1.37923437614141,0.00465777823904469,0.0417624380153922,9.33839598354006,4.43665106426897,8.24145460948508,11.2495419445353,24.1474970707347,29.0857296235859,16.4188974657438,17.0034633568535,"Gm44020"
"ENSMUSG00000108171",1.51447967556513,0.0041194712532097,0.0390927420402173,11.4135950909934,12.4226229799531,13.7357576824751,41.930110884177,47.2888484301888,122.953311590613,22.9864564520414,35.0071304405807,"Gm43915"
"ENSMUSG00000108267",1.31295887377861,0.00123307828811717,0.0226574919662628,16.6015928596268,12.4226229799531,7.32573743065341,11.2495419445353,28.1720799158572,26.4415723850781,33.6587398047749,29.0059080793383,"Gm44190"
"ENSMUSG00000108414",1.01150593041996,2.74897981693249e-05,0.00353026881753436,189.880718331981,165.930749803659,123.621819142276,114.540790707996,221.352056481735,413.810607826472,320.989445455292,243.049505630317,"Snhg1"
"ENSMUSG00000108455",1.27920218398708,0.00613478053800912,0.0483758317586315,20.7519910745335,16.8592740442221,22.8929294707919,30.6805689396417,50.3072855640307,113.698761255836,17.239842339031,42.0085565286968,"Gm44745"
"ENSMUSG00000108494",1.58836852484815,0.00471257915029105,0.0420358093963756,19.7143915208068,8.87330212853794,14.6514748613068,11.2495419445353,13.079894246648,92.5455033477733,15.5979525924567,44.0089639824443,"Gm45203"
"ENSMUSG00000108521",1.54041299634482,0.00203279954596756,0.0280454089217496,16.6015928596268,20.4085948956373,10.9886061459801,17.3856557324636,29.1782256271378,108.41044677882,18.8817320856054,36.0073341674544,"Gm44639"
"ENSMUSG00000108635",2.3659541615787,0.000793201715760455,0.0179602963046188,6.22559732236004,0.887330212853794,10.0728889671484,10.2268563132139,5.03072855640307,83.2909530129959,20.5236218321798,33.0067229868332,"Gm44633"
"ENSMUSG00000108693",2.33905088309412,1.68089790362769e-06,0.000749011340695763,10.3759955372667,7.09864170283035,6.41002025182173,7.15879941924973,32.1966627609796,74.0364026782186,22.1655115787542,30.006111806212,"Gm45153"
