"","log2FoldChange","pvalue","padj","BCH_309","BCH_313","BCH_314","BCH_317","BNPFC_381","BNPFC_382","BNPFC_383","BNPFC_389","gene"
"ENSMUSG00000000001",-0.315711854086977,0.109754778170301,0.799508432524854,566.965683374262,619.722002535906,586.563352827894,486.109148803796,288.359230400613,425.11667084373,547.28501440558,555.682221332808,"Gnai3"
"ENSMUSG00000000028",-0.38140460983465,0.256153125296244,0.834124874296969,28.9162825764651,54.6554255437072,28.0609011383715,36.3823895154608,36.1670899146532,25.8954317265216,21.5924284894462,30.7289707649479,"Cdc45"
"ENSMUSG00000000031",0.410574366325609,0.593094822604773,0.918459380247241,21.6872119323488,2.64461736501809,11.76747467093,2.02124386197004,16.6173115824082,23.7374790826448,4.98286811294913,5.12149512749131,"H19"
"ENSMUSG00000000037",-0.222327582162135,0.648339262228387,0.930549494625602,29.949006954196,16.7492433117813,13.5778553895346,18.1911947577304,7.81991133289799,10.789763219384,29.8972086776948,17.9252329462196,"Scml2"
"ENSMUSG00000000056",-0.0930004374011006,0.63159802369167,0.926153747669225,786.935975830944,873.605269577643,782.989660796495,644.776791968444,499.496836388859,631.201148333964,800.580810147161,966.682205313986,"Narf"
"ENSMUSG00000000058",-0.0855292385518721,0.697480095704312,0.94371343726808,390.369814782279,352.615648669079,500.570268694175,366.855760947563,222.867472987593,385.194546932009,431.0180917701,480.140168202311,"Cav2"
"ENSMUSG00000000078",0.1735661084971,0.0978909693207275,0.798481709373988,795.197770852791,671.732810714596,778.463708999983,707.435351689515,870.942624701513,855.628223297151,809.716068354234,792.551370979281,"Klf6"
"ENSMUSG00000000085",-0.0423092718195293,0.684855618697544,0.940181985727154,768.346937031787,773.109809706956,704.238099537194,802.433813202107,727.251753959513,789.810667658909,766.531211375342,673.476609265108,"Scmh1"
"ENSMUSG00000000088",0.327559255764221,0.068955978572719,0.793884076222764,1365.26162736025,1248.25939628854,1607.6180781209,1718.05728267454,2483.79933711172,1923.81478201617,1628.56739491554,1414.81302896948,"Cox5a"
"ENSMUSG00000000093",0.440807815123853,0.174733126018816,0.821263471505672,25.8181094432724,38.7877213535987,37.1128047313945,19.2018166887154,54.7393793302859,42.0800765555976,35.7105548094688,32.0093445468207,"Tbx2"
"ENSMUSG00000000120",0.0739042921875811,0.737059091627808,0.950409054668274,118.763303439053,80.2200600722155,102.286510601161,87.9241079956969,96.7714027446126,131.635111276485,102.979274334282,76.8224269123697,"Ngfr"
"ENSMUSG00000000125",0.0566509699883039,0.83489294526669,0.971479237854208,53.7016676420066,64.3523558821069,95.9501780860444,88.9347299266819,98.7263805778371,73.3703898918112,52.3201151859659,92.1869122948437,"Wnt3"
"ENSMUSG00000000126",0.175356704858968,0.415153439168213,0.875188945221902,255.082921299532,149.861650684359,199.141879046507,183.933191439274,183.767916323103,291.323606923368,237.516713383909,175.411208116578,"Wnt9a"
"ENSMUSG00000000127",-0.171576917980121,0.406740961831706,0.87241376791932,200.348529279794,269.750971231845,144.830457488369,173.826972129424,152.488270991511,179.110069441774,166.926081783796,203.57943131778,"Fer"
"ENSMUSG00000000131",-0.0402296335662226,0.632950162490153,0.926153747669225,1440.6505069346,1458.06570724664,1363.21668110927,1494.70983592685,1395.85417292229,1367.06299989595,1449.18414284937,1384.08405820453,"Xpo6"
"ENSMUSG00000000134",0.0686289282972335,0.535439910977289,0.905809994587641,611.372831616691,585.341976790671,575.701068516267,657.914877071249,687.17470837841,621.490361436518,663.55193704106,572.327080497154,"Tfe3"
"ENSMUSG00000000142",0.0660871954584363,0.649743185790227,0.930551133491598,498.805874444023,491.898829893365,412.766803841852,386.057577636278,399.792966894409,489.855250160034,445.136218090123,541.598109732207,"Axin2"
"ENSMUSG00000000148",0.0363366391028534,0.776674286576439,0.960126371523145,420.318821736475,400.218761239405,369.317666595341,348.664566189833,395.88301122796,422.958718199853,416.899965450078,339.2990521963,"Brat1"
"ENSMUSG00000000149",0.0292731887498298,0.775468541738507,0.959806310182621,2092.2995892828,2039.88152755062,1764.21601028019,1922.20291273351,2196.41759562772,1996.10619558604,1910.09944329717,1874.46721666182,"Gna12"
"ENSMUSG00000000167",-0.131508510016591,0.749608739003722,0.95403761903174,21.6872119323488,23.8015562851628,27.1557107790692,42.4461211013709,19.549778332245,24.8164554045832,14.9486043388474,47.3738299292947,"Pih1d2"
"ENSMUSG00000000168",-0.146918361951963,0.313039719477582,0.852290269229658,1494.35217457661,1598.2304275926,1664.64507075694,1668.53680805627,1087.94516418943,1394.03740794441,1639.36360916026,1683.69152316277,"Dlat"
"ENSMUSG00000000171",0.196621405436318,0.0610479938291936,0.793884076222764,933.582837468731,957.35148613655,936.872021877887,963.122700228726,1211.10876768258,1135.0830906792,986.607886363928,1011.49528767953,"Sdhd"
